timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1581416629897,4139,AuthNProxy,401,Unauthorized,Thread Group 1-34,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4139,0,550
1581416629870,4166,AuthNProxy,401,Unauthorized,Thread Group 1-26,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4166,0,544
1581416629856,4183,AuthNProxy,401,Unauthorized,Thread Group 1-23,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4183,0,550
1581416629881,4160,AuthNProxy,401,Unauthorized,Thread Group 1-46,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4160,0,546
1581416629892,4287,AuthNProxy,401,Unauthorized,Thread Group 1-37,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4287,0,545
1581416629902,4290,AuthNProxy,401,Unauthorized,Thread Group 1-25,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4290,0,550
1581416629853,4341,AuthNProxy,401,Unauthorized,Thread Group 1-28,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4340,0,544
1581416629883,4315,AuthNProxy,401,Unauthorized,Thread Group 1-13,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4315,0,544
1581416629857,4346,AuthNProxy,401,Unauthorized,Thread Group 1-33,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4346,0,550
1581416629935,4397,AuthNProxy,401,Unauthorized,Thread Group 1-32,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4397,0,550
1581416629996,4337,AuthNProxy,401,Unauthorized,Thread Group 1-50,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4337,0,545
1581416629862,4479,AuthNProxy,401,Unauthorized,Thread Group 1-21,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4479,0,551
1581416630003,4353,AuthNProxy,401,Unauthorized,Thread Group 1-6,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4353,0,550
1581416629965,4393,AuthNProxy,401,Unauthorized,Thread Group 1-14,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4393,0,550
1581416629961,4398,AuthNProxy,401,Unauthorized,Thread Group 1-3,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4398,0,545
1581416629999,4367,AuthNProxy,401,Unauthorized,Thread Group 1-49,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4367,0,549
1581416629908,4460,AuthNProxy,401,Unauthorized,Thread Group 1-2,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4460,0,549
1581416630039,4381,AuthNProxy,401,Unauthorized,Thread Group 1-19,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4381,0,545
1581416630028,4449,AuthNProxy,401,Unauthorized,Thread Group 1-12,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4449,0,550
1581417234372,4365,AuthNProxy,401,Unauthorized,Thread Group 1-7,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4365,0,545
1581417234544,4197,AuthNProxy,401,Unauthorized,Thread Group 1-3,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4197,0,545
1581417234556,4187,AuthNProxy,401,Unauthorized,Thread Group 1-1,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4187,0,549
1581417234419,4327,AuthNProxy,401,Unauthorized,Thread Group 1-40,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4327,0,544
1581417234451,4297,AuthNProxy,401,Unauthorized,Thread Group 1-12,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4297,0,545
1581417234680,4164,AuthNProxy,401,Unauthorized,Thread Group 1-47,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4164,0,545
1581417234721,4185,AuthNProxy,401,Unauthorized,Thread Group 1-26,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4185,0,545
1581417234719,4212,AuthNProxy,401,Unauthorized,Thread Group 1-28,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4212,0,549
1581417234723,4224,AuthNProxy,401,Unauthorized,Thread Group 1-8,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4224,0,550
1581417234711,4275,AuthNProxy,401,Unauthorized,Thread Group 1-22,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4275,0,550
1581417234706,4285,AuthNProxy,401,Unauthorized,Thread Group 1-27,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4285,0,549
